Rollup,Decentralization_Level,Stage,Built_on,Fraud_proof,CPU,RAM,SSD,AWS_Instance,HW_Cost_USD_Month,Num_Sequencers,Num_Validators,Tx_per_Month,DA_Gas_ETH,L2_Fee_USD,Incentive
DeBank Chain,1,0,OP Stack,N/A,2 core,4GB,200GB,t3.medium,37.9,1,1,820,0.000334,723.50000,
Optopia,1,0,OP Stack,N/A,2 core,4GB,200GB,t3.medium,37.9,1,1,343,0.000328,6.10000,
Blast,2,0,OP Stack,N/A,4 core,16GB,1TB,t3.xlarge,169.52,1,5,2488,0.000440,2.90000,
Mode Network,2,0,OP Stack,N/A,4 core,16GB,200GB,t3.xlarge,37.9,1,6,532,0.000378,34.60000,
Lisk,2,0,OP Stack,N/A,2 core,8GB,40GB,t3.large,47,1,8,1948,0.000319,34.40000,
Taiko,2,0,Taiko,SGX proofs,2 core,4GB,1TB,t3.medium,103.82,1,1,57968,0.000493,40.50000,
Kinto,2,0,Arbitrum Orbit,Bisection games,4 core,16GB,1TB,t3.xlarge,169.52,1,5,188,0.002211,19.80000,
Zora,2,0,OP Stack,N/A,4 core,16GB,200GB,t3.xlarge,37.9,1,6,539,0.000362,1,
Boba,2,0,OP Stack,N/A,8 core,16GB,15GB,t3.2xlarge,23.1,1,4,1066,0.000359,10.20000,
Mint,2,0,OP Stack,N/A,2 core,8GB,800GB,t3.large,107.8,1,8,4051,0.000291,33.60000,
SuperLumio,2,0,OP Stack,N/A,4 core,16GB,512GB,t3.xlarge,128.56,1,8,502,0.000340,8.90000,
Metal,2,0,OP Stack,N/A,8 core,16GB,250GB,t3.2xlarge,41.9,1,8,10861,0.000358,7.70000,
Arbitrum One,3,1,Arbitrum Nitro,Bisection games,4 core,16GB,5TB,t3.xlarge,431.5,1,14,26314,0.002534,112.90000,Fidelity bond + 3-4% interest rate
Kroma,4,0,OP Stack,zkEVM,2 core,4GB,512GB,t3.medium,62.86,1,Decentralized,4811,0.000328,9.40000,Fidelity bond + 50% gas profit refund
Base,4,0,OP Stack,Bisection games,4 core,32GB,5TB,t3.2xlarge,431.5,1,Decentralized,21123,0.000589,698.80000,Fidelity bond
OP Mainnet,4,1,OP Stack,Bisection games,4 core,16GB,1.6TB,t3.xlarge,218.67,1,Decentralized,5811,0.000372,180.70000,Fidelity bond
Fuel v1,4,2,Fuel VM,Bisection games,4 core,8GB,200GB,t3.xlarge,103.6,1,Decentralized,35749,0.000144,146.80000,Fidelity bond
