Rollup,Decentralization_Level,Sequencer,Validator,DA_Gas,L2_Fee,Net_Profit
DeBank Chain,1,2.52,4.74,3.64,10.0,7.36
Optopia,1,2.52,5.74,3.58,5.57,2.68
Blast,2,7.13,7.03,4.51,2.48,3.6
Mode Network,2,2.52,7.29,4.03,7.04,4.49
Lisk,2,3.18,6.38,3.5,5.56,5.56
Taiko,2,5.62,1.0,4.86,1.9,8.49
Kinto,2,7.13,10.0,9.57,7.59,2.9
Zora,2,2.52,7.28,3.89,3.01,1.0
Boba,2,1.0,5.46,3.87,4.87,4.06
Mint,2,5.74,6.49,3.21,4.71,6.14
SuperLumio,2,6.28,9.09,3.7,5.57,3.09
Metal,2,2.83,4.27,3.86,1.92,5.74
Arbitrum One,3,10.0,6.58,10.0,3.96,8.68
Kroma,4,4.08,3.28,3.58,3.07,5.24
Base,4,10.0,3.8,5.42,6.28,10.0
OP Mainnet,4,7.91,4.5,3.98,6.21,7.83
Fuel v1,4,5.61,1.55,1.0,3.91,9.15
