date,tx_count,l2_fee_eth,l1_gas_eth
2024-01-01,415556,8.191443474101014e-06,12.44100682965413
2024-01-02,369598,1.0036474791187096e-05,18.507714339856893
2024-01-03,341621,2.1552601944974903e-05,30.99133437424302
2024-01-04,337125,1.6700425684320204e-05,20.588576734865704
2024-01-05,330682,1.2251604178174714e-05,17.413263625223134
2024-01-06,334699,1.1071252817190134e-05,16.119298832170497
2024-01-07,270585,1.3482658752358712e-05,22.53608343759179
2024-01-08,360758,1.8186734772954945e-05,23.578751208519847
2024-01-09,398453,1.2513244013562632e-05,21.823976286917265
2024-01-10,338895,2.4021650440589e-05,35.23901805836032
2024-01-11,306318,1.7817143509882108e-05,28.211902654262943
2024-01-12,340992,1.4707482512868926e-05,22.293033438002738
2024-01-13,339624,8.725428398780878e-06,16.65719192227938
2024-01-14,269297,1.1904078837140058e-05,23.464279203252985
2024-01-15,319335,8.737773231665416e-06,20.06616217335872
2024-01-16,287600,7.823019712858488e-06,26.847154618487977
2024-01-17,290781,1.680570218495659e-05,30.64659063023966
2024-01-18,284762,1.4354651760810027e-05,27.832855987177066
2024-01-19,315243,1.0806451796665729e-05,25.394804587186687
2024-01-20,395470,1.0982831683976488e-05,16.6211933710593
2024-01-21,352145,1.5656297486854344e-05,13.181421874001572
2024-01-22,353370,1.7755240766689563e-05,16.84750777688804
2024-01-23,409456,1.2632992130099318e-05,16.138534697835702
2024-01-24,530287,5.894213051922497e-06,15.488653506622867
2024-01-25,391018,2.537835516810472e-05,25.421701181195974
2024-01-26,378570,7.726728301608571e-06,20.198685546270088
2024-01-27,364933,5.794636950288361e-06,12.924727399055378
2024-01-28,443948,5.46489455884694e-06,13.824640028278854
2024-01-29,461437,8.713594012780075e-06,16.610810294502876
2024-01-30,322945,1.5352543412111954e-05,25.474306027956622
2024-01-31,338088,8.693339734051073e-06,24.492741745035676
2024-02-01,339982,1.198001883723632e-05,29.60855185616676
2024-02-02,403670,1.0004531426727832e-05,27.192197095526605
2024-02-03,441214,1.274793606381159e-05,23.887473358849043
2024-02-04,499405,1.941577070443052e-05,25.25136438523521
2024-02-05,528213,3.1667735928557684e-05,31.266898493522525
2024-02-06,467066,2.323821348519425e-05,49.27313028452095
2024-02-07,448279,4.388748386204783e-05,55.49272545521677
2024-02-08,444763,3.503151355113144e-05,86.96271326267215
2024-02-09,472721,2.139652409132397e-05,88.68737995569143
2024-02-10,474037,2.3456381242444356e-05,49.25747820170532
2024-02-11,499177,2.3570215103956504e-05,41.75108598325649
2024-02-12,456894,3.3857787413853926e-05,52.302613783755774
2024-02-13,503504,1.5040695586161146e-05,42.17239586139758
2024-02-14,390808,1.8069942537213397e-05,30.424850218956276
2024-02-15,404786,1.5513278643186973e-05,40.46006284722589
2024-02-16,500219,1.375960131925616e-05,40.378315086375885
2024-02-17,632863,7.063368637848155e-06,33.3923526673321
2024-02-18,564969,5.430653329032762e-06,35.356453884251096
2024-02-19,466063,1.4439285025317088e-05,44.58747685072092
2024-02-20,428360,1.087926123756518e-05,45.58742030242079
2024-02-21,481999,1.0015070733217618e-05,54.77790547915372
2024-02-22,394663,1.525840913985942e-05,49.7404579688931
2024-02-23,369384,9.134772775714277e-06,41.487769932822005
2024-02-24,488709,5.857780563099398e-06,37.54238447856181
2024-02-25,526990,7.414820268255868e-06,44.95435650047558
2024-02-26,432595,1.2877870885097682e-05,46.00339091756142
2024-02-27,449677,1.5770534429440308e-05,57.318431027908936
2024-02-28,465436,2.693475646175697e-05,71.96810699234783
2024-02-29,480944,1.85825939368164e-05,87.11972745707926
2024-03-01,415447,1.8618826460853083e-05,58.05753252636797
2024-03-02,444459,1.2253067015627435e-05,55.943766552815084
2024-03-03,444604,1.966771623984564e-05,59.877407438054206
2024-03-04,386613,2.8991751762834703e-05,83.5624683265442
2024-03-05,463779,5.838713387956394e-05,115.8114531481904
2024-03-06,521780,4.723751755385796e-05,103.7231666835708
2024-03-07,509667,3.2314659633393544e-05,90.13636308003602
2024-03-08,440157,3.626133738578284e-05,70.4032690466736
2024-03-09,446694,3.906289798509758e-05,62.4269584321112
2024-03-10,467219,3.527281526169829e-05,70.56627510538603
2024-03-11,457169,5.350658438831393e-05,80.6876204564364
2024-03-12,451569,3.5409348124278786e-05,71.82877335927999
2024-03-13,572298,3.800154337919225e-05,77.06863839336128
2024-03-14,1228534,4.5264702944409447e-05,1.024509605467146
2024-03-15,1372489,3.1748276792458984e-05,0.2593896987630479
2024-03-16,2115080,2.9332733980330005e-05,0.264317345061252
2024-03-17,1150460,2.659696388616013e-05,0.1591625445925829
2024-03-18,1188679,3.2405381553551685e-05,0.204384423891228
2024-03-19,1213904,5.943349057794464e-05,0.228670839553254
2024-03-20,1649667,0.0002898990796166,0.26914102153722
2024-03-21,1401833,0.0001669997304983,0.213011636897094
2024-03-22,1329185,0.0001050492529072,0.17243751578718
2024-03-23,1321083,7.502084041569692e-05,0.143174387185746
2024-03-24,1484598,0.0001705362994045,0.138520058039937
2024-03-25,1541847,0.0003201493583637,0.192031997240454
2024-03-26,1625760,0.0004098015213501,0.232998862119072
2024-03-27,1675088,0.0002494644455998,0.284838473257779
2024-03-28,2167952,0.0001098985259608,0.384503854198359
2024-03-29,2274773,0.0001720728866257,0.2910568477742519
2024-03-30,2387397,0.0001515917417763,0.291589009243833
2024-03-31,2263477,0.0001061628930714,0.266261713379172
2024-04-01,2348188,0.0001189995435588,0.2810307924311369
2024-04-02,2625140,9.114704502082711e-05,0.471868479469863
2024-04-03,2719414,9.28791380333851e-05,0.422576444553522
2024-04-04,3000157,4.122533257117398e-05,0.409482896457453
2024-04-05,3080826,5.849655754628236e-05,0.3247815620489159
2024-04-06,3083793,4.215238595057504e-05,0.201800612859195
2024-04-07,3157792,3.639615404954266e-05,0.249171377955864
2024-04-08,3239276,5.230265010334647e-05,0.3645085174442669
2024-04-09,3031364,5.429434350885603e-05,0.4471140212672071
2024-04-10,2996687,5.777341948966103e-05,0.315693950461008
2024-04-11,3061614,6.204499712685216e-05,0.315306302238333
2024-04-12,2767153,4.115619179932493e-05,0.3953342230557929
2024-04-13,2642168,4.091761264476903e-05,0.580142352653976
2024-04-14,2654217,2.820766134475876e-05,0.197000637375717
2024-04-15,3020152,4.32039961871582e-05,0.250926744941208
2024-04-16,2818990,3.210310082028916e-05,0.209116903121343
2024-04-17,2727617,3.739695465293928e-05,0.300435434811603
2024-04-18,2705579,2.7348036979360905e-05,0.191874354364077
2024-04-19,2588245,2.3799057893226742e-05,0.172051787808537
2024-04-20,2551437,2.044890965253985e-05,0.122537132796687
2024-04-21,2576377,2.254031661163601e-05,0.126054798912126
2024-04-22,2787729,3.817611655271621e-05,0.169797481951419
2024-04-23,2808001,3.18191147280515e-05,0.1992934297005749
2024-04-24,2837022,5.290847273494582e-05,0.217087813047441
2024-04-25,2532694,5.273201459317293e-05,0.184593565185351
2024-04-26,2672479,4.553785246345542e-05,0.1309514278935239
2024-04-27,2352589,3.7351030745209e-05,0.106541772802941
2024-04-28,2463356,3.0457624656256147e-05,0.115670800271187
2024-04-29,2553537,3.2516205256043e-05,0.142782182116791
2024-04-30,2529020,3.599506839637892e-05,0.211403828720112
2024-05-01,2393011,3.0259756012447543e-05,0.145761579566127
2024-05-02,2531289,2.92605938045017e-05,0.130195234953462
2024-05-03,2744698,3.860112619650696e-05,0.126159313339164
2024-05-04,2469728,3.103983516190142e-05,0.100620996602238
2024-05-05,2355420,3.135433151758556e-05,0.101884775367417
2024-05-06,2496321,3.664524717033102e-05,0.1075772661951329
2024-05-07,2656104,3.598763125111127e-05,0.115242007264272
2024-05-08,2305403,3.188375179263055e-05,0.087999405700962
2024-05-09,2587678,4.561670134138589e-05,0.091750932209832
2024-05-10,2251444,4.508230936519652e-05,0.103962698496951
2024-05-11,2002146,2.291675078096558e-05,0.078975827057127
2024-05-12,1948666,2.0841233100558355e-05,0.065841151728408
2024-05-13,2039374,3.2614149567991106e-05,0.115827758369505
2024-05-14,2099462,2.8277769445571823e-05,0.105128562811083
2024-05-15,1946028,3.133555872695292e-05,0.100975901366361
2024-05-16,1930013,3.1907687082164416e-05,0.077329004609661
2024-05-17,1865113,2.482255506867508e-05,0.084519675739842
2024-05-18,1812773,1.7375258325404557e-05,0.054968001151917
2024-05-19,1761008,1.908563059108464e-05,0.052483881857421
2024-05-20,2040347,2.3096856263201918e-05,0.1936164154378019
2024-05-21,2158004,3.7571811852716045e-05,0.1946189651411669
2024-05-22,2176833,3.077984028359727e-05,0.1587434102233349
2024-05-23,2284532,4.725578728083557e-05,0.1668149145007589
2024-05-24,2064885,3.112695912326235e-05,0.1209310921886339
2024-05-25,1708890,3.25907977533376e-05,0.072364236106197
2024-05-26,1906022,9.496050457914377e-05,0.07739439807183
2024-05-27,1817781,2.9929576645882405e-05,0.212633976208143
2024-05-28,1975749,2.0580051695708965e-05,0.2487991858307339
2024-05-29,2232782,1.1884812392206512e-05,0.269528806679139
2024-05-30,2316513,1.7067621389329976e-05,0.247188081946995
2024-05-31,2325885,1.1372911740055096e-05,0.250421423481222
2024-06-01,2152824,1.160047387031718e-05,0.1646379859634369
2024-06-02,2280653,1.587815330035946e-05,0.201419526397782
2024-06-03,2574027,1.2307213270800204e-05,0.272405425284825
2024-06-04,2753303,1.3622191693580422e-05,0.2705869762215059
2024-06-05,2976308,1.6805875092467066e-05,0.4351544592751858
2024-06-06,2974548,2.206308417716992e-05,0.4463958787091999
2024-06-07,2938702,1.3438498868735478e-05,0.365160013900416
2024-06-08,2521221,1.0464543104777666e-05,0.155320825587333
2024-06-09,2665880,1.109339468866651e-05,0.190231230530166
2024-06-10,2831014,1.6770832903290886e-05,0.2821810664366611
2024-06-11,2935571,1.52830457786837e-05,0.3655488740564641
2024-06-12,3146924,6.455884371257588e-05,0.413393765667351
2024-06-13,3150618,1.5362811838233313e-05,0.375602376751707
2024-06-14,2971462,1.2201646035561553e-05,0.272809835793096
2024-06-15,2906530,9.134524404381292e-06,0.163550014274661
2024-06-16,2891528,1.0386998067710443e-05,0.141755549925339
2024-06-17,3099671,9.832488556765088e-06,0.2393801427389399
2024-06-18,3207747,1.1654763662347031e-05,0.263157733030983
2024-06-19,3226143,8.70201476181855e-06,0.255139426778439
2024-06-20,3417160,8.886337997810514e-06,0.571580008602603
2024-06-21,3252187,1.044833005461712e-05,0.193547387441919
2024-06-22,2800908,5.272466524640072e-06,0.100253792110038
2024-06-23,3123226,4.695890251131173e-06,0.11185794956994
2024-06-24,3353030,9.701394095268674e-06,0.19422324403503
2024-06-25,3507610,7.82110306651818e-06,0.171953502470757
2024-06-26,3482915,8.872055644835086e-06,0.1906686168571799
2024-06-27,3684669,1.6952641479476728e-05,0.243236752994655
2024-06-28,3546378,7.703998153138772e-06,0.158535947716461
2024-06-29,3269047,6.986146951488055e-06,0.096245053519587
2024-06-30,3051659,5.62788838948727e-06,0.118836255475728
2024-07-01,3211790,9.019649138421174e-06,0.180793668286581
2024-07-02,3156224,5.83589969747193e-06,0.148749954502968
2024-07-03,3419884,7.112431966850561e-06,0.2673772214121749
2024-07-04,3279297,7.704546411611303e-06,0.2496069166134179
2024-07-05,3170725,1.3890203061733533e-05,0.290466518076945
2024-07-06,2955898,3.913629522324381e-06,0.105217852466559
2024-07-07,2957115,4.488549484236008e-06,0.090446576879883
2024-07-08,3291545,7.731757768526929e-06,0.134310833801466
2024-07-09,3402362,6.541020618865145e-06,0.15706221017424
2024-07-10,3321756,7.997215683796576e-06,0.182190216999546
2024-07-11,3466317,7.762899115399002e-06,0.113953172224836
2024-07-12,3227271,6.392925343544848e-06,0.073710479508855
2024-07-13,3160832,4.2056951593751815e-06,0.070011761994468
2024-07-14,3200980,5.308473365234104e-06,0.071486651266233
2024-07-15,3495941,7.895058288100834e-06,0.1801479489068489
2024-07-16,3489793,1.1085331825647397e-05,0.189978418235886
2024-07-17,3508359,9.406806158548477e-06,0.205703903623512
2024-07-18,4090247,9.639881875345624e-06,0.2301178796976779
2024-07-19,3996791,1.022453172049218e-05,0.160883843178177
2024-07-20,4131513,1.220464740079583e-05,0.102505069096731
2024-07-21,4055585,1.1653671440779677e-05,0.1518067725183449
2024-07-22,4356231,8.849157401472598e-06,0.16537339990017
2024-07-23,3955753,1.1296500299243777e-05,0.149204914410531
2024-07-24,3387427,1.33465973400264e-05,0.131782136782926
2024-07-25,3792369,1.0346531274488656e-05,0.135308523190218
2024-07-26,4222427,5.4968228488849685e-06,0.098866632310992
2024-07-27,4432006,5.898873559218087e-06,0.141028541288418
2024-07-28,3691864,7.719928030218096e-06,0.074711638376403
2024-07-29,3904938,8.539487535997156e-06,0.101548775289675
2024-07-30,3667439,6.767708968160232e-06,0.194947422841311
2024-07-31,3711629,8.065691882342829e-06,0.207164806751553
2024-08-01,3524248,8.284256102426317e-06,0.2158931666519459
2024-08-02,3418265,1.0661800812039516e-05,0.141860183905356
2024-08-03,3216481,7.381895967825513e-06,0.075395847263772
2024-08-04,3459403,1.0565257991096104e-05,0.137391112117119
2024-08-05,3568321,5.17003678383746e-05,1.0297607286389847
2024-08-06,3418709,9.952276834050484e-06,0.123527073785346
2024-08-07,3554464,1.0173250673284744e-05,0.1369132624946099
2024-08-08,3651688,1.0597426928599478e-05,0.169425898514649
2024-08-09,3687690,6.279191872325362e-06,0.105109074184611
2024-08-10,3481806,3.303078531631241e-06,0.055714628888898
2024-08-11,3778342,4.676210864409498e-06,0.064320873443841
2024-08-12,3950646,9.314189643425452e-06,0.128284963384998
2024-08-13,4025917,6.956203782215939e-06,0.084924290522505
2024-08-14,4101846,8.115504004405513e-06,0.100827083760144
2024-08-15,4119348,8.75092791875725e-06,0.120968273643735
2024-08-16,4057783,5.884785095156833e-06,0.070644607008339
2024-08-17,4040626,2.1881267235707595e-06,0.05848248849114
2024-08-18,3893029,3.145314822378376e-06,0.06022284317532
2024-08-19,4119094,4.357146775313264e-06,0.07100696709897
2024-08-20,4164760,5.04628973610253e-06,0.071379604040829
2024-08-21,4115883,5.228545767793379e-06,0.090802075086618
2024-08-22,4038505,4.478642736448355e-06,0.063887875609488
2024-08-23,4024141,5.853770242750409e-06,0.073421079393312
2024-08-24,4306046,3.6802001494458874e-06,0.063029000739516
2024-08-25,4319368,3.0187350039803805e-06,0.055579305696264
2024-08-26,4251142,4.008149113455141e-06,0.077966184670521
2024-08-27,4380176,8.002131066543722e-06,0.08364281183517
2024-08-28,4297659,9.013854409360426e-06,0.077795787526149
2024-08-29,4390980,5.351511632108203e-06,0.0782275435984769
2024-08-30,4431715,6.935680641098885e-06,0.073189057734114
2024-08-31,4335481,3.0692124699171e-06,0.055546881734001
2024-09-01,4022685,4.349330585096581e-06,0.053744709911634
2024-09-02,4266965,3.872424081748802e-06,0.129728505614064
2024-09-03,4043496,4.292299456441066e-06,0.078036392613333
2024-09-04,4011436,7.074856513812384e-06,0.1173992686423409
2024-09-05,4138676,5.424716686799438e-06,0.132365351438124
2024-09-06,4449075,8.323955205600474e-06,0.2089860543782969
2024-09-07,4276052,3.306804939386445e-06,0.086325894624627
2024-09-08,4082510,3.0777295963160475e-06,0.072230118779301
2024-09-09,4418033,4.610439319063127e-06,0.148458013805535
2024-09-10,4455066,3.8118550879949335e-06,0.160731275853603
2024-09-11,4732519,4.44390492424531e-06,0.107257532805486
2024-09-12,4715689,4.555713415681052e-06,0.13320969232347
2024-09-13,4885595,4.337868792663327e-06,0.112324048370268
2024-09-14,4611735,2.6617771365480423e-06,0.074364993155418
2024-09-15,4569602,3.7366863793868874e-06,0.076914737652501
2024-09-16,4830040,5.0921316307158814e-06,0.185977209842109
2024-09-17,4457209,4.679692142382204e-06,0.1996388599336949
2024-09-18,4907358,6.357772777812665e-06,0.213559710938175
2024-09-19,4659452,6.411003834609039e-06,0.3699855483982349
2024-09-20,5279907,6.990013266861499e-06,0.409670897790336
2024-09-21,4950235,3.5470185581972954e-06,0.3034706262906779
2024-09-22,4270869,5.756867712779511e-06,0.2466388729311989
2024-09-23,4618424,7.34091361306601e-06,0.489413975753367
2024-09-24,4720140,7.51137351556094e-06,0.529055883191346
2024-09-25,4892096,4.683008432605517e-06,0.5060018357653139
2024-09-26,4794270,6.382369428231548e-06,0.4580931690606392
2024-09-27,5382655,6.038093028209936e-06,0.3856521207854071
2024-09-28,5224312,3.269214931347591e-06,0.191498818051758
2024-09-29,5134727,3.033183261785401e-06,0.196423010413035
2024-09-30,5100431,6.694231822801401e-06,0.2788446516475831
2024-10-01,5127748,1.0564487905925772e-05,0.453548387995605
2024-10-02,4814011,9.351386888784516e-06,0.303219859397007
2024-10-03,5563126,7.160212047906289e-06,0.220182598282794
2024-10-04,5746139,6.177614834807381e-06,0.191541901351122
2024-10-05,4512015,3.1745801197407736e-06,0.142161509006097
2024-10-06,4360898,4.700695507020181e-06,0.184482286862748
2024-10-07,5450303,8.012196316254418e-06,0.5331335943008674
2024-10-08,5788454,5.929095030754603e-06,0.50235230809764
2024-10-09,5547087,9.88346556110004e-06,0.5538417984736143
2024-10-10,6201526,1.056073526573027e-05,0.429661847028561
2024-10-11,6106047,1.0405604123748303e-05,0.5370310048620508
2024-10-12,6099543,3.890108945199232e-06,0.384355699165788
2024-10-13,6232905,3.876070871445108e-06,0.335654798180016
2024-10-14,6143176,8.432323788986286e-06,0.5917409362024231
2024-10-15,5931562,1.0418337059577553e-05,0.5299229608160669
2024-10-16,5917343,7.818160497674135e-06,0.418971254320206
2024-10-17,6377996,6.435883945997773e-06,0.594608509749009
2024-10-18,5386610,2.524697221399555e-05,0.6269662575810899
2024-10-19,4202725,2.5084680497654366e-05,0.252312811581978
2024-10-20,6339982,4.279873880470484e-06,0.262526975490234
2024-10-21,6056479,6.6359073174214764e-06,0.248896011318675
2024-10-22,5763948,7.327244613235368e-06,0.309901701949014
2024-10-23,5961530,8.701287366282107e-06,0.402895825124331
2024-10-24,5789304,1.0155055252746592e-05,0.321045516732066
2024-10-25,6472717,1.0033259628692362e-05,0.291341956780581
2024-10-26,6557685,6.832507331598644e-06,0.218529927665343
2024-10-27,6041805,7.754095185545229e-06,0.210131736749319
2024-10-28,6355706,1.102384299142806e-05,0.337729627516701
2024-10-29,6948705,1.0328883652144056e-05,0.4364198081126519
2024-10-30,7021057,8.02955779753569e-06,0.4932142806983491
2024-10-31,6802357,9.442438310306184e-06,0.4766321757484774
2024-11-01,7100378,8.197052893625702e-06,0.4492993201609288
2024-11-02,6690820,4.866377879047431e-06,0.350592084107811
2024-11-03,6145898,7.485876707015715e-06,0.311691414619221
2024-11-04,5770420,7.560805557664965e-06,0.3125040152227349
2024-11-05,7002292,6.589995608850999e-06,0.410486464986087
2024-11-06,7114591,1.333834832855697e-05,0.9334424418445352
2024-11-07,7413775,1.1069613625356174e-05,0.7259547833146562
2024-11-08,6434704,8.560880935149195e-06,0.6113908561186231
2024-11-09,6828661,9.34679061755975e-06,0.4870867187166541
2024-11-10,6856413,1.2467735981559584e-05,0.8488201283951964
2024-11-11,6955503,1.2506904063263523e-05,1.0673846113139582
2024-11-12,7276970,1.6335987796956697e-05,1.0396368831406948
2024-11-13,6702440,1.7548358277300933e-05,1.662743978723373
2024-11-14,6869229,2.1899449763781707e-05,1.230718015840068
2024-11-15,7320709,2.018832059562645e-05,0.8814186648168718
2024-11-16,6815046,1.2057288510491392e-05,0.5839211744156277
2024-11-17,7292296,1.2849976934913822e-05,0.459007733519832
2024-11-18,7565761,1.5889304591675585e-05,0.5951362003006349
2024-11-19,7722695,1.2054090457561175e-05,0.597207876474867
2024-11-20,7564849,1.1470896008678787e-05,0.5786251908374703
2024-11-21,7340946,1.7847558335901168e-05,0.7009298896293961
2024-11-22,7288266,1.2091594239197578e-05,0.5659661190367379
2024-11-23,7097376,1.2042720446789614e-05,0.5827337043270121
2024-11-24,9070005,9.200625544311164e-06,0.507953130395676
2024-11-25,9276585,1.4172314236616172e-05,0.6423845563706757
2024-11-26,11447083,1.4396509459721048e-05,0.594814091511129
2024-11-27,7268071,2.074662750165632e-05,0.5747250220352758
2024-11-28,10491810,1.4895382624832892e-05,0.5381663192304421
2024-11-29,5944453,2.8125190135282792e-05,0.4076958257061691
2024-11-30,6724617,2.6480613505181648e-05,0.509979250851273
2024-12-01,8391223,2.064671081138328e-05,0.636662216997933
2024-12-02,8218927,2.1426159107893843e-05,1.135402499754936
2024-12-03,7629148,2.3404566484874883e-05,1.0770560914540777
2024-12-04,8154715,2.0649364298987852e-05,1.1165279079440218
2024-12-05,7740269,2.583721786832959e-05,0.964885607477127
2024-12-06,7607483,2.097480472014967e-05,0.935460244481448
2024-12-07,8164772,8.619707210208298e-06,0.674562315189462
2024-12-08,8812094,6.942392780489367e-06,0.518955183884172
2024-12-09,8113828,2.1140847328278367e-05,1.1173469483760148
2024-12-10,8099972,1.7262245099781154e-05,0.9944641413484888
2024-12-11,7784461,1.1518362385103146e-05,0.7862361368145271
2024-12-12,9077123,1.440695674310346e-05,0.8714195262094978
2024-12-13,8543374,1.2076131108621366e-05,0.635278450359252
2024-12-14,8247560,7.763490020356572e-06,0.4254190786615979
2024-12-15,8083181,7.821957225957448e-06,0.406135304435385
2024-12-16,8104715,1.3393726985270044e-05,0.6769894137282148
2024-12-17,8344342,1.2939922192300169e-05,0.7111739853717662
2024-12-18,7819012,1.6846946719182593e-05,0.7569225869261699
2024-12-19,7330633,1.7322294987060953e-05,0.7872715302021778
2024-12-20,7538282,1.8576594779054875e-05,0.8045197369634042
2024-12-21,8549793,8.932119557549831e-06,0.461091106443765
2024-12-22,9492906,6.494264988953756e-06,0.397929064758393
2024-12-23,8693825,1.0556294455812637e-05,0.5197862084501519
2024-12-24,8567759,7.538489962893658e-06,0.396200140079856
2024-12-25,8786538,6.651798830593204e-06,0.345024998654994
2024-12-26,7658600,8.670893355537918e-06,0.341852008424451
2024-12-27,8589018,1.0023216530470253e-05,0.352946239868418
2024-12-28,8444340,7.1306807631982455e-06,0.289856204738268
2024-12-29,10188876,7.4150174851269854e-06,0.327259255751085
2024-12-30,10244091,1.003780402856024e-05,0.398142062920602
2024-12-31,11084676,8.637645696884297e-06,0.5225186042734141
